File,Timing
13-11-19-1221,1217
13-11-19-1221,1217
13-11-19-1221,1220
13-11-19-1221,1221
13-11-19-1221,1221
13-11-19-1221,1222
13-11-19-1221,1245
13-11-19-1221,1246
13-11-19-1221,1246
13-11-19-1221,1246
13-11-19-1221,1252
13-11-19-1221,1253
13-11-19-1221,1253
13-11-19-1221,1254
13-11-19-1221,1514
13-11-19-1221,1514
13-11-19-1221,1515
13-11-19-1221,1597
13-11-19-1221,1597
13-11-19-1221,2067
13-11-19-1221,2068
13-11-19-1221,2068
13-11-19-1221,2068
13-11-19-1221,2080
13-11-19-1221,2080
13-11-19-1221,2385
13-11-19-1221,2386
13-11-19-1221,2386
13-11-19-1221,2794
13-11-19-1221,2794
13-11-19-1221,2794
13-11-19-1221,3156
13-11-19-1221,3157
13-11-19-1221,3159
13-11-19-1221,3160
13-11-19-1221,3160
Exp_01_Feb_2020_0945am,1046
Exp_01_Feb_2020_0945am,1046
Exp_01_Feb_2020_0945am,1047
Exp_01_Feb_2020_0945am,1048
Exp_01_Feb_2020_0945am,1050
Exp_01_Feb_2020_0945am,1051
Exp_01_Feb_2020_0945am,1132
Exp_01_Feb_2020_0945am,1132
Exp_01_Feb_2020_0945am,1154
Exp_01_Feb_2020_0945am,1154
Exp_01_Feb_2020_0945am,1154
Exp_01_Feb_2020_0945am,1181
Exp_01_Feb_2020_0945am,1182
Exp_01_Feb_2020_0945am,1182
Exp_01_Feb_2020_0945am,1183
Exp_01_Feb_2020_0945am,1183
Exp_01_Feb_2020_0945am,1552
Exp_01_Feb_2020_0945am,1552
Exp_01_Feb_2020_0945am,1552
Exp_01_Feb_2020_0945am,754
Exp_01_Feb_2020_0945am,754
Exp_01_Feb_2020_0945am,768
Exp_01_Feb_2020_0945am,770
Exp_01_Feb_2020_0945am,771
Exp_01_Feb_2020_0945am,771
Exp_01_Feb_2020_0945am,772
Exp_01_Feb_2020_0945am,772
Exp_01_Feb_2020_0945am,773
Exp_01_Feb_2020_0945am,773
Exp_01_Feb_2020_0945am,774
Exp_01_Feb_2020_0945am,774
Exp_01_Feb_2020_0945am,775
Exp_01_Feb_2020_0945am,782
Exp_01_Feb_2020_0945am,782
Exp_01_Feb_2020_0945am,783
Exp_01_Feb_2020_0945am,784
Exp_01_Feb_2020_0945am,784
Exp_01_Feb_2020_0945am,784
Exp_01_Feb_2020_0945am,788
Exp_01_Feb_2020_0945am,789
