1.000000	1.622970	whistle
\	11741.714844	13269.226562
5.875814	6.187159	whistle
\	36905.449219	36905.449219
7.949241	8.293708	whistle
\	36905.449219	36905.449219
13.659445	14.646476	whistle
\	36905.449219	36905.449219
24.424042	25.490565	whistle
\	36905.449219	36905.449219
29.551303	29.875897	whistle
\	36905.449219	36905.449219
35.493360	36.427396	whistle
\	6516.020508	6516.020508
38.308716	38.679681	whistle
\	6516.020508	6516.020508
41.236686	41.521534	whistle
\	6516.020508	6516.020508
56.028899	56.426361	whistle
\	6516.020508	6516.020508
71.887634	72.238725	whistle
\	6516.020508	6516.020508
78.551748	79.273804	whistle
\	6516.020508	6516.020508
89.369339	89.614441	whistle
\	6516.020508	6516.020508
90.045025	90.409365	whistle
\	6516.020508	6516.020508
102.167617	102.584952	whistle
\	6516.020508	6516.020508
103.704470	104.088684	whistle
\	6516.020508	6516.020508
113.402544	113.786757	whistle
\	20102.828125	20102.828125
120.477368	121.013942	whiste
\	20102.828125	20102.828125
124.266506	124.710339	whistle
\	20102.828125	20102.828125
125.227040	126.280314	whistle
\	20102.828125	20102.828125
133.626737	134.719758	whistle
\	20102.828125	20102.828125
151.327047	152.420067	whistle
\	20102.828125	20102.828125
154.685601	155.016819	whistle
\	20102.828125	20102.828125
163.224410	163.542380	whistle
\	20102.828125	20102.828125
170.358854	170.769565	whistle
\	20102.828125	20102.828125
171.995073	172.266672	whistle
\	20102.828125	20102.828125
176.698374	177.102460	whistle
\	20102.828125	20102.828125
177.897384	178.314719	whistle
\	20102.828125	20102.828125
181.958121	182.196598	w
\	20102.828125	20102.828125
187.820686	188.271143	whistle
\	20102.828125	20102.828125
193.769368	194.259571	whistle
\	20102.828125	20102.828125
198.081831	198.340182	whistle
\	20102.828125	20102.828125
658.342872	658.707212	whistles
\	20102.828125	20102.828125
663.046173	663.384015	whistles
\	20102.828125	20102.828125
665.888026	666.146376	whistle
\	20102.828125	20102.828125
670.246860	670.730439	whistle
\	20102.828125	20102.828125
1272.852305	1273.077534	whistle
\	20102.828125	20102.828125
1365.606696	1365.931290	whistle
\	20102.828125	20102.828125
1382.528642	1382.767120	whistle
\	20102.828125	20102.828125
1461.520910	1461.852129	whistle
\	20102.828125	20102.828125
1483.228962	1483.457503	whistle
\	20102.828125	20102.828125
1489.654598	1489.833456	whistle
\	20102.828125	20102.828125
1496.312088	1496.563813	whistle
\	20102.828125	20102.828125
1568.401765	1568.799227	whistle
\	20102.828125	20102.828125
1578.861641	1579.176298	whistle
\	20102.828125	20102.828125
1616.001156	1616.617222	whistle
\	20102.828125	20102.828125
1620.972744	1621.535815	whistle
\	20102.828125	20102.828125
1694.917244	1695.463754	whisle
\	20102.828125	20102.828125
1725.929219	1726.333306	whistle
\	20102.828125	20102.828125
1727.217659	1727.784042	whistle
\	20102.828125	20102.828125
1750.624861	1751.214429	whistle
\	20102.828125	20102.828125
1763.694737	1763.857034	whistle
\	20102.828125	20102.828125
1764.628773	1765.171971	whistle
\	20102.828125	20102.828125
1770.458216	1771.216706	whistle
\	20102.828125	20102.828125
1774.737558	1775.098586	whislte
\	20102.828125	20102.828125
1775.568916	1776.373776	whistle
\	20102.828125	20102.828125
1780.457699	1780.984336	whistle
\	20102.828125	20102.828125
1812.089053	1812.354027	whistle
\	20102.828125	20102.828125
1817.891998	1818.103978	whistle
\	20102.828125	20102.828125
1824.990008	1825.900859	whistle
\	20102.828125	20102.828125
1829.315720	1829.550885	whislte
\	20102.828125	20102.828125
