Root File,File Name,Total Groups
1311 17 Nonshow sott48khz,24kHz13__14_11_17__8-18-20_22.78,15
1311 17 Nonshow sott48khz,24kHz13__13_11_17__20-5-45_23.60,1
1311 17 Nonshow sott48khz,24kHz13__14_11_17__0-5-29_23.19,2
1311 17 Nonshow sott48khz,24kHz13__14_11_17__2-56-11_23.6,0
1311 17 Nonshow sott48khz,24kHz13__14_11_17__0-1-21_23.20,1
1311 17 Nonshow sott48khz,24kHz13__14_11_17__8-22-31_22.79,15
1311 17 Nonshow sott48khz,24kHz13__13_11_17__20-9-52_23.62,30
1311 17 Nonshow sott48khz,24kHz13__13_11_17__21-13-36_23.47,24
1311 17 Nonshow sott48khz,24kHz13__13_11_17__15-13-5_23.73,2
1311 17 Nonshow sott48khz,24kHz13__14_11_17__2-15-35_23.8,0
1311 17 Nonshow sott48khz,24kHz13__13_11_17__12-30-7_24.34,8
1311 17 Nonshow sott48khz,24kHz13__13_11_17__13-34-40_23.71,17
1311 17 Nonshow sott48khz,24kHz13__13_11_17__17-58-20_23.75,17
1311 17 Nonshow sott48khz,24kHz13__14_11_17__6-35-0_22.86,8
1311 17 Nonshow sott48khz,24kHz13__13_11_17__19-12-19_23.67,1
1311 17 Nonshow sott48khz,24kHz13__14_11_17__8-26-41_22.78,14
1311 17 Nonshow sott48khz,24kHz13__14_11_17__7-17-48_22.82,7
1311 17 Nonshow sott48khz,24kHz13__14_11_17__2-40-34_23.7,0
1311 17 Nonshow sott48khz,24kHz13__14_11_17__8-16-15_22.78,33
1311 17 Nonshow sott48khz,24kHz13__14_11_17__6-3-43_22.86,25
1311 17 Nonshow sott48khz,24kHz13__13_11_17__19-5-7_23.68,7
1311 17 Nonshow sott48khz,24kHz13__14_11_17__8-11-2_22.79,27
1311 17 Nonshow sott48khz,24kHz13__13_11_17__15-16-9_23.74,0
1311 17 Nonshow sott48khz,24kHz13__14_11_17__7-2-9_22.84,9
1311 17 Nonshow sott48khz,24kHz13__14_11_17__6-39-13_22.88,22
1311 17 Nonshow sott48khz,24kHz13__13_11_17__16-9-30_23.80,4
1311 17 Nonshow sott48khz,24kHz13__13_11_17__15-7-57_23.74,4
1311 17 Nonshow sott48khz,24kHz13__13_11_17__23-40-45_23.24,2
1311 17 Nonshow sott48khz,24kHz13__13_11_17__15-15-8_23.73,1
1311 17 Nonshow sott48khz,24kHz13__14_11_17__8-29-49_22.78,12
1311 17 Nonshow sott48khz,24kHz13__13_11_17__14-14-38_23.62,7
1311 17 Nonshow sott48khz,24kHz13__14_11_17__5-25-9_22.92,2
1311 17 Nonshow sott48khz,24kHz13__14_11_17__11-33-38_22.91,13
1311 17 Nonshow sott48khz,24kHz13__14_11_17__5-34-32_22.93,1
1311 17 Nonshow sott48khz,24kHz13__14_11_17__5-39-44_22.91,11
1311 17 Nonshow sott48khz,24kHz13__13_11_17__16-46-26_23.74,4
1311 17 Nonshow sott48khz,24kHz13__14_11_17__11-49-19_22.90,1
1311 17 Nonshow sott48khz,24kHz13__13_11_17__13-57-12_23.62,3
1311 17 Nonshow sott48khz,24kHz13__13_11_17__20-46-52_23.51,18
1311 17 Nonshow sott48khz,24kHz13__14_11_17__0-42-56_23.17,0
1311 17 Nonshow sott48khz,24kHz13__14_11_17__9-0-6_22.83,30
1311 17 Nonshow sott48khz,24kHz13__13_11_17__20-8-50_23.63,16
1311 17 Nonshow sott48khz,24kHz13__13_11_17__18-59-59_23.72,4
1311 17 Nonshow sott48khz,24kHz13__14_11_17__8-48-37_22.82,39
1311 17 Nonshow sott48khz,24kHz13__13_11_17__18-51-46_23.71,2
1311 17 Nonshow sott48khz,24kHz13__14_11_17__5-43-54_22.89,18
1311 17 Nonshow sott48khz,24kHz13__14_11_17__6-51-44_22.86,12
1311 17 Nonshow sott48khz,24kHz13__13_11_17__16-56-44_23.80,1
1311 17 Nonshow sott48khz,24kHz13__13_11_17__16-58-47_23.79,2
1311 17 Nonshow sott48khz,24kHz13__13_11_17__13-36-43_23.66,46
1311 17 Nonshow sott48khz,24kHz13__14_11_17__12-15-26_22.89,9
1311 17 Nonshow sott48khz,24kHz13__14_11_17__9-22-1_22.84,4
1311 17 Nonshow sott48khz,24kHz13__14_11_17__11-46-11_22.90,0
1311 17 Nonshow sott48khz,24kHz13__13_11_17__14-24-53_23.63,6
1311 17 Nonshow sott48khz,24kHz13__14_11_17__4-16-22_22.95,17
1311 17 Nonshow sott48khz,24kHz13__14_11_17__7-55-22_22.80,16
1311 17 Nonshow sott48khz,24kHz13__13_11_17__15-33-35_23.72,1
1311 17 Nonshow sott48khz,24kHz13__13_11_17__17-36-46_23.83,9
1311 17 Nonshow sott48khz,24kHz13__13_11_17__17-54-13_23.77,26
1311 17 Nonshow sott48khz,24kHz13__14_11_17__11-59-46_22.90,14
1311 17 Nonshow sott48khz,24kHz13__14_11_17__12-16-29_22.89,2
1311 17 Nonshow sott48khz,24kHz13__14_11_17__2-32-14_23.8,1
1311 17 Nonshow sott48khz,24kHz13__13_11_17__23-28-24_23.27,27
1311 17 Nonshow sott48khz,24kHz13__14_11_17__0-22-7_23.17,36
1311 17 Nonshow sott48khz,24kHz13__13_11_17__14-4-23_23.62,6
1311 17 Nonshow sott48khz,24kHz13__13_11_17__15-45-54_23.72,11
1311 17 Nonshow sott48khz,24kHz13__14_11_17__5-6-23_22.94,5
1311 17 Nonshow sott48khz,24kHz13__14_11_17__12-18-34_22.90,5
1311 17 Nonshow sott48khz,24kHz13__13_11_17__14-19-45_23.63,9
1311 17 Nonshow sott48khz,24kHz13__14_11_17__12-10-13_22.88,8
1311 17 Nonshow sott48khz,24kHz13__13_11_17__20-7-48_23.59,4
1311 17 Nonshow sott48khz,24kHz13__13_11_17__18-29-9_23.75,29
1311 17 Nonshow sott48khz,24kHz13__13_11_17__19-8-12_23.69,1
1311 17 Nonshow sott48khz,24kHz13__13_11_17__14-10-32_23.62,10
1311 17 Nonshow sott48khz,24kHz13__14_11_17__2-31-12_23.6,0
1311 17 Nonshow sott48khz,24kHz13__14_11_17__5-32-27_22.91,2
