file_names,labels
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_17_Dec_2019_1345pm-1182.8.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_05_Dec_2019_1145am-182.8.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_16_Jan_2020_1245pm-3208.4.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_04_Feb_2020_1145am-618.0.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_25_Nov_2019_0945am-1299.2.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_01_Jan_2020_1545pm-579.6.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_02_Jan_2020_1045am-1747.2.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_22_Nov_2019_1245pm-417.6.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_07_Mar_2020_0845am-1588.8.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_15_Jan_2020_0945am-372.0.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_09_Dec_2019_1145am-646.0.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_14_Dec_2019_0945am-456.0.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_01_Jan_2020_1045am-863.2.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_06_Feb_2020_1145am-365.2.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_01_Jan_2020_1245pm-2907.2.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_16_Nov_2019_1345pm-627.2.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_17_Dec_2019_1345pm-1191.2.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_12_Mar_2020_1345pm-162.4.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_10_Feb_2020_1545pm-259.6.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_24_Nov_2019_1345pm-997.6.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_16_Nov_2019_1045am-2387.6.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_17_Dec_2019_1145am-3247.6.jpg,1
/media/DOLPHIN/Analyses_alexis/dataset/_last/positives/Exp_26_Nov_2019_1345pm-101.6.jpg,1
